filename,annot
lh.aparc.annot.ply,lh.aparc.annot
lh.LCBC_roi.0001.ply,unknown
lh.LCBC_roi.0002.ply,bankssts
lh.LCBC_roi.0003.ply,caudalanteriorcingulate
lh.LCBC_roi.0004.ply,caudalmiddlefrontal
lh.LCBC_roi.0005.ply,corpuscallosum
lh.LCBC_roi.0006.ply,cuneus
lh.LCBC_roi.0007.ply,entorhinal
lh.LCBC_roi.0008.ply,fusiform
lh.LCBC_roi.0009.ply,inferiorparietal
lh.LCBC_roi.0010.ply,inferiortemporal
lh.LCBC_roi.0011.ply,isthmuscingulate
lh.LCBC_roi.0012.ply,lateraloccipital
lh.LCBC_roi.0013.ply,lateralorbitofrontal
lh.LCBC_roi.0014.ply,lingual
lh.LCBC_roi.0015.ply,medialorbitofrontal
lh.LCBC_roi.0016.ply,middletemporal
lh.LCBC_roi.0017.ply,parahippocampal
lh.LCBC_roi.0018.ply,paracentral
lh.LCBC_roi.0019.ply,parsopercularis
lh.LCBC_roi.0020.ply,parsorbitalis
lh.LCBC_roi.0021.ply,parstriangularis
lh.LCBC_roi.0022.ply,pericalcarine
lh.LCBC_roi.0023.ply,postcentral
lh.LCBC_roi.0024.ply,posteriorcingulate
lh.LCBC_roi.0025.ply,precentral
lh.LCBC_roi.0026.ply,precuneus
lh.LCBC_roi.0027.ply,rostralanteriorcingulate
lh.LCBC_roi.0028.ply,rostralmiddlefrontal
lh.LCBC_roi.0029.ply,superiorfrontal
lh.LCBC_roi.0030.ply,superiorparietal
lh.LCBC_roi.0031.ply,superiortemporal
lh.LCBC_roi.0032.ply,supramarginal
lh.LCBC_roi.0033.ply,frontalpole
lh.LCBC_roi.0034.ply,temporalpole
lh.LCBC_roi.0035.ply,transversetemporal
lh.LCBC_roi.0036.ply,insula
