filename,annot
lh.aparc.annot.ply,lh.aparc.annot
lh.inflated_roi.0001.ply,unknown
lh.inflated_roi.0002.ply,bankssts
lh.inflated_roi.0003.ply,caudalanteriorcingulate
lh.inflated_roi.0004.ply,caudalmiddlefrontal
lh.inflated_roi.0005.ply,corpuscallosum
lh.inflated_roi.0006.ply,cuneus
lh.inflated_roi.0007.ply,entorhinal
lh.inflated_roi.0008.ply,fusiform
lh.inflated_roi.0009.ply,inferiorparietal
lh.inflated_roi.0010.ply,inferiortemporal
lh.inflated_roi.0011.ply,isthmuscingulate
lh.inflated_roi.0012.ply,lateraloccipital
lh.inflated_roi.0013.ply,lateralorbitofrontal
lh.inflated_roi.0014.ply,lingual
lh.inflated_roi.0015.ply,medialorbitofrontal
lh.inflated_roi.0016.ply,middletemporal
lh.inflated_roi.0017.ply,parahippocampal
lh.inflated_roi.0018.ply,paracentral
lh.inflated_roi.0019.ply,parsopercularis
lh.inflated_roi.0020.ply,parsorbitalis
lh.inflated_roi.0021.ply,parstriangularis
lh.inflated_roi.0022.ply,pericalcarine
lh.inflated_roi.0023.ply,postcentral
lh.inflated_roi.0024.ply,posteriorcingulate
lh.inflated_roi.0025.ply,precentral
lh.inflated_roi.0026.ply,precuneus
lh.inflated_roi.0027.ply,rostralanteriorcingulate
lh.inflated_roi.0028.ply,rostralmiddlefrontal
lh.inflated_roi.0029.ply,superiorfrontal
lh.inflated_roi.0030.ply,superiorparietal
lh.inflated_roi.0031.ply,superiortemporal
lh.inflated_roi.0032.ply,supramarginal
lh.inflated_roi.0033.ply,frontalpole
lh.inflated_roi.0034.ply,temporalpole
lh.inflated_roi.0035.ply,transversetemporal
lh.inflated_roi.0036.ply,insula
