filename,annot
rh.aparc.annot.ply,rh.aparc.annot
rh.inflated_roi.0001.ply,unknown
rh.inflated_roi.0002.ply,bankssts
rh.inflated_roi.0003.ply,caudalanteriorcingulate
rh.inflated_roi.0004.ply,caudalmiddlefrontal
rh.inflated_roi.0005.ply,corpuscallosum
rh.inflated_roi.0006.ply,cuneus
rh.inflated_roi.0007.ply,entorhinal
rh.inflated_roi.0008.ply,fusiform
rh.inflated_roi.0009.ply,inferiorparietal
rh.inflated_roi.0010.ply,inferiortemporal
rh.inflated_roi.0011.ply,isthmuscingulate
rh.inflated_roi.0012.ply,lateraloccipital
rh.inflated_roi.0013.ply,lateralorbitofrontal
rh.inflated_roi.0014.ply,lingual
rh.inflated_roi.0015.ply,medialorbitofrontal
rh.inflated_roi.0016.ply,middletemporal
rh.inflated_roi.0017.ply,parahippocampal
rh.inflated_roi.0018.ply,paracentral
rh.inflated_roi.0019.ply,parsopercularis
rh.inflated_roi.0020.ply,parsorbitalis
rh.inflated_roi.0021.ply,parstriangularis
rh.inflated_roi.0022.ply,pericalcarine
rh.inflated_roi.0023.ply,postcentral
rh.inflated_roi.0024.ply,posteriorcingulate
rh.inflated_roi.0025.ply,precentral
rh.inflated_roi.0026.ply,precuneus
rh.inflated_roi.0027.ply,rostralanteriorcingulate
rh.inflated_roi.0028.ply,rostralmiddlefrontal
rh.inflated_roi.0029.ply,superiorfrontal
rh.inflated_roi.0030.ply,superiorparietal
rh.inflated_roi.0031.ply,superiortemporal
rh.inflated_roi.0032.ply,supramarginal
rh.inflated_roi.0033.ply,frontalpole
rh.inflated_roi.0034.ply,temporalpole
rh.inflated_roi.0035.ply,transversetemporal
rh.inflated_roi.0036.ply,insula
