filename,annot
lh.aparc.annot.ply,lh.aparc.annot
lh.white_roi.0001.ply,unknown
lh.white_roi.0002.ply,bankssts
lh.white_roi.0003.ply,caudalanteriorcingulate
lh.white_roi.0004.ply,caudalmiddlefrontal
lh.white_roi.0005.ply,corpuscallosum
lh.white_roi.0006.ply,cuneus
lh.white_roi.0007.ply,entorhinal
lh.white_roi.0008.ply,fusiform
lh.white_roi.0009.ply,inferiorparietal
lh.white_roi.0010.ply,inferiortemporal
lh.white_roi.0011.ply,isthmuscingulate
lh.white_roi.0012.ply,lateraloccipital
lh.white_roi.0013.ply,lateralorbitofrontal
lh.white_roi.0014.ply,lingual
lh.white_roi.0015.ply,medialorbitofrontal
lh.white_roi.0016.ply,middletemporal
lh.white_roi.0017.ply,parahippocampal
lh.white_roi.0018.ply,paracentral
lh.white_roi.0019.ply,parsopercularis
lh.white_roi.0020.ply,parsorbitalis
lh.white_roi.0021.ply,parstriangularis
lh.white_roi.0022.ply,pericalcarine
lh.white_roi.0023.ply,postcentral
lh.white_roi.0024.ply,posteriorcingulate
lh.white_roi.0025.ply,precentral
lh.white_roi.0026.ply,precuneus
lh.white_roi.0027.ply,rostralanteriorcingulate
lh.white_roi.0028.ply,rostralmiddlefrontal
lh.white_roi.0029.ply,superiorfrontal
lh.white_roi.0030.ply,superiorparietal
lh.white_roi.0031.ply,superiortemporal
lh.white_roi.0032.ply,supramarginal
lh.white_roi.0033.ply,frontalpole
lh.white_roi.0034.ply,temporalpole
lh.white_roi.0035.ply,transversetemporal
lh.white_roi.0036.ply,insula
