filename,annot
rh.aparc.annot.ply,rh.aparc.annot
rh.white_roi.0001.ply,unknown
rh.white_roi.0002.ply,bankssts
rh.white_roi.0003.ply,caudalanteriorcingulate
rh.white_roi.0004.ply,caudalmiddlefrontal
rh.white_roi.0005.ply,corpuscallosum
rh.white_roi.0006.ply,cuneus
rh.white_roi.0007.ply,entorhinal
rh.white_roi.0008.ply,fusiform
rh.white_roi.0009.ply,inferiorparietal
rh.white_roi.0010.ply,inferiortemporal
rh.white_roi.0011.ply,isthmuscingulate
rh.white_roi.0012.ply,lateraloccipital
rh.white_roi.0013.ply,lateralorbitofrontal
rh.white_roi.0014.ply,lingual
rh.white_roi.0015.ply,medialorbitofrontal
rh.white_roi.0016.ply,middletemporal
rh.white_roi.0017.ply,parahippocampal
rh.white_roi.0018.ply,paracentral
rh.white_roi.0019.ply,parsopercularis
rh.white_roi.0020.ply,parsorbitalis
rh.white_roi.0021.ply,parstriangularis
rh.white_roi.0022.ply,pericalcarine
rh.white_roi.0023.ply,postcentral
rh.white_roi.0024.ply,posteriorcingulate
rh.white_roi.0025.ply,precentral
rh.white_roi.0026.ply,precuneus
rh.white_roi.0027.ply,rostralanteriorcingulate
rh.white_roi.0028.ply,rostralmiddlefrontal
rh.white_roi.0029.ply,superiorfrontal
rh.white_roi.0030.ply,superiorparietal
rh.white_roi.0031.ply,superiortemporal
rh.white_roi.0032.ply,supramarginal
rh.white_roi.0033.ply,frontalpole
rh.white_roi.0034.ply,temporalpole
rh.white_roi.0035.ply,transversetemporal
rh.white_roi.0036.ply,insula
