"","filename","annot","hemi","region","R","G","B","A"
"1","lh.aparc.a2009s.annot.ply","lh.aparc.a2009s.annot","lh","Unknown",0,0,0,0
"2","lh.white_roi.0001.ply","G_and_S_frontomargin","lh","G_and_S_frontomargin",23,220,60,0
"3","lh.white_roi.0002.ply","G_and_S_occipital_inf","lh","G_and_S_occipital_inf",23,60,180,0
"4","lh.white_roi.0003.ply","G_and_S_paracentral","lh","G_and_S_paracentral",63,100,60,0
"5","lh.white_roi.0004.ply","G_and_S_subcentral","lh","G_and_S_subcentral",63,20,220,0
"6","lh.white_roi.0005.ply","G_and_S_transv_frontopol","lh","G_and_S_transv_frontopol",13,0,250,0
"7","lh.white_roi.0006.ply","G_and_S_cingul-Ant","lh","G_and_S_cingul-Ant",26,60,0,0
"8","lh.white_roi.0007.ply","G_and_S_cingul-Mid-Ant","lh","G_and_S_cingul-Mid-Ant",26,60,75,0
"9","lh.white_roi.0008.ply","G_and_S_cingul-Mid-Post","lh","G_and_S_cingul-Mid-Post",26,60,150,0
"10","lh.white_roi.0009.ply","G_cingul-Post-dorsal","lh","G_cingul-Post-dorsal",25,60,250,0
"11","lh.white_roi.0010.ply","G_cingul-Post-ventral","lh","G_cingul-Post-ventral",60,25,25,0
"12","lh.white_roi.0011.ply","G_cuneus","lh","G_cuneus",180,20,20,0
"13","lh.white_roi.0012.ply","G_front_inf-Opercular","lh","G_front_inf-Opercular",220,20,100,0
"14","lh.white_roi.0013.ply","G_front_inf-Orbital","lh","G_front_inf-Orbital",140,60,60,0
"15","lh.white_roi.0014.ply","G_front_inf-Triangul","lh","G_front_inf-Triangul",180,220,140,0
"16","lh.white_roi.0015.ply","G_front_middle","lh","G_front_middle",140,100,180,0
"17","lh.white_roi.0016.ply","G_front_sup","lh","G_front_sup",180,20,140,0
"18","lh.white_roi.0017.ply","G_Ins_lg_and_S_cent_ins","lh","G_Ins_lg_and_S_cent_ins",23,10,10,0
"19","lh.white_roi.0018.ply","G_insular_short","lh","G_insular_short",225,140,140,0
"20","lh.white_roi.0019.ply","G_occipital_middle","lh","G_occipital_middle",180,60,180,0
"21","lh.white_roi.0020.ply","G_occipital_sup","lh","G_occipital_sup",20,220,60,0
"22","lh.white_roi.0021.ply","G_oc-temp_lat-fusifor","lh","G_oc-temp_lat-fusifor",60,20,140,0
"23","lh.white_roi.0022.ply","G_oc-temp_med-Lingual","lh","G_oc-temp_med-Lingual",220,180,140,0
"24","lh.white_roi.0023.ply","G_oc-temp_med-Parahip","lh","G_oc-temp_med-Parahip",65,100,20,0
"25","lh.white_roi.0024.ply","G_orbital","lh","G_orbital",220,60,20,0
"26","lh.white_roi.0025.ply","G_pariet_inf-Angular","lh","G_pariet_inf-Angular",20,60,220,0
"27","lh.white_roi.0026.ply","G_pariet_inf-Supramar","lh","G_pariet_inf-Supramar",100,100,60,0
"28","lh.white_roi.0027.ply","G_parietal_sup","lh","G_parietal_sup",220,180,220,0
"29","lh.white_roi.0028.ply","G_postcentral","lh","G_postcentral",20,180,140,0
"30","lh.white_roi.0029.ply","G_precentral","lh","G_precentral",60,140,180,0
"31","lh.white_roi.0030.ply","G_precuneus","lh","G_precuneus",25,20,140,0
"32","lh.white_roi.0031.ply","G_rectus","lh","G_rectus",20,60,100,0
"33","lh.white_roi.0032.ply","G_subcallosal","lh","G_subcallosal",60,220,20,0
"34","lh.white_roi.0033.ply","G_temp_sup-G_T_transv","lh","G_temp_sup-G_T_transv",60,60,220,0
"35","lh.white_roi.0034.ply","G_temp_sup-Lateral","lh","G_temp_sup-Lateral",220,60,220,0
"36","lh.white_roi.0035.ply","G_temp_sup-Plan_polar","lh","G_temp_sup-Plan_polar",65,220,60,0
"37","lh.white_roi.0036.ply","G_temp_sup-Plan_tempo","lh","G_temp_sup-Plan_tempo",25,140,20,0
"38","lh.white_roi.0037.ply","G_temporal_inf","lh","G_temporal_inf",220,220,100,0
"39","lh.white_roi.0038.ply","G_temporal_middle","lh","G_temporal_middle",180,60,60,0
"40","lh.white_roi.0039.ply","Lat_Fis-ant-Horizont","lh","Lat_Fis-ant-Horizont",61,20,220,0
"41","lh.white_roi.0040.ply","Lat_Fis-ant-Vertical","lh","Lat_Fis-ant-Vertical",61,20,60,0
"42","lh.white_roi.0041.ply","Lat_Fis-post","lh","Lat_Fis-post",61,60,100,0
"43","lh.white_roi.0042.ply","Medial_wall","lh","Medial_wall",25,25,25,0
"44","lh.white_roi.0043.ply","Pole_occipital","lh","Pole_occipital",140,20,60,0
"45","lh.white_roi.0044.ply","Pole_temporal","lh","Pole_temporal",220,180,20,0
"46","lh.white_roi.0045.ply","S_calcarine","lh","S_calcarine",63,180,180,0
"47","lh.white_roi.0046.ply","S_central","lh","S_central",221,20,10,0
"48","lh.white_roi.0047.ply","S_cingul-Marginalis","lh","S_cingul-Marginalis",221,20,100,0
"49","lh.white_roi.0048.ply","S_circular_insula_ant","lh","S_circular_insula_ant",221,60,140,0
"50","lh.white_roi.0049.ply","S_circular_insula_inf","lh","S_circular_insula_inf",221,20,220,0
"51","lh.white_roi.0050.ply","S_circular_insula_sup","lh","S_circular_insula_sup",61,220,220,0
