"","filename","annot","hemi","region","R","G","B","A"
"1","rh.aparc.a2009s.annot.ply","rh.aparc.a2009s.annot","rh","Unknown",0,0,0,0
"2","rh.white_roi.0001.ply","G_and_S_frontomargin","rh","G_and_S_frontomargin",23,220,60,0
"3","rh.white_roi.0002.ply","G_and_S_occipital_inf","rh","G_and_S_occipital_inf",23,60,180,0
"4","rh.white_roi.0003.ply","G_and_S_paracentral","rh","G_and_S_paracentral",63,100,60,0
"5","rh.white_roi.0004.ply","G_and_S_subcentral","rh","G_and_S_subcentral",63,20,220,0
"6","rh.white_roi.0005.ply","G_and_S_transv_frontopol","rh","G_and_S_transv_frontopol",13,0,250,0
"7","rh.white_roi.0006.ply","G_and_S_cingul-Ant","rh","G_and_S_cingul-Ant",26,60,0,0
"8","rh.white_roi.0007.ply","G_and_S_cingul-Mid-Ant","rh","G_and_S_cingul-Mid-Ant",26,60,75,0
"9","rh.white_roi.0008.ply","G_and_S_cingul-Mid-Post","rh","G_and_S_cingul-Mid-Post",26,60,150,0
"10","rh.white_roi.0009.ply","G_cingul-Post-dorsal","rh","G_cingul-Post-dorsal",25,60,250,0
"11","rh.white_roi.0010.ply","G_cingul-Post-ventral","rh","G_cingul-Post-ventral",60,25,25,0
"12","rh.white_roi.0011.ply","G_cuneus","rh","G_cuneus",180,20,20,0
"13","rh.white_roi.0012.ply","G_front_inf-Opercular","rh","G_front_inf-Opercular",220,20,100,0
"14","rh.white_roi.0013.ply","G_front_inf-Orbital","rh","G_front_inf-Orbital",140,60,60,0
"15","rh.white_roi.0014.ply","G_front_inf-Triangul","rh","G_front_inf-Triangul",180,220,140,0
"16","rh.white_roi.0015.ply","G_front_middle","rh","G_front_middle",140,100,180,0
"17","rh.white_roi.0016.ply","G_front_sup","rh","G_front_sup",180,20,140,0
"18","rh.white_roi.0017.ply","G_Ins_lg_and_S_cent_ins","rh","G_Ins_lg_and_S_cent_ins",23,10,10,0
"19","rh.white_roi.0018.ply","G_insular_short","rh","G_insular_short",225,140,140,0
"20","rh.white_roi.0019.ply","G_occipital_middle","rh","G_occipital_middle",180,60,180,0
"21","rh.white_roi.0020.ply","G_occipital_sup","rh","G_occipital_sup",20,220,60,0
"22","rh.white_roi.0021.ply","G_oc-temp_lat-fusifor","rh","G_oc-temp_lat-fusifor",60,20,140,0
"23","rh.white_roi.0022.ply","G_oc-temp_med-Lingual","rh","G_oc-temp_med-Lingual",220,180,140,0
"24","rh.white_roi.0023.ply","G_oc-temp_med-Parahip","rh","G_oc-temp_med-Parahip",65,100,20,0
"25","rh.white_roi.0024.ply","G_orbital","rh","G_orbital",220,60,20,0
"26","rh.white_roi.0025.ply","G_pariet_inf-Angular","rh","G_pariet_inf-Angular",20,60,220,0
"27","rh.white_roi.0026.ply","G_pariet_inf-Supramar","rh","G_pariet_inf-Supramar",100,100,60,0
"28","rh.white_roi.0027.ply","G_parietal_sup","rh","G_parietal_sup",220,180,220,0
"29","rh.white_roi.0028.ply","G_postcentral","rh","G_postcentral",20,180,140,0
"30","rh.white_roi.0029.ply","G_precentral","rh","G_precentral",60,140,180,0
"31","rh.white_roi.0030.ply","G_precuneus","rh","G_precuneus",25,20,140,0
"32","rh.white_roi.0031.ply","G_rectus","rh","G_rectus",20,60,100,0
"33","rh.white_roi.0032.ply","G_subcallosal","rh","G_subcallosal",60,220,20,0
"34","rh.white_roi.0033.ply","G_temp_sup-G_T_transv","rh","G_temp_sup-G_T_transv",60,60,220,0
"35","rh.white_roi.0034.ply","G_temp_sup-Lateral","rh","G_temp_sup-Lateral",220,60,220,0
"36","rh.white_roi.0035.ply","G_temp_sup-Plan_polar","rh","G_temp_sup-Plan_polar",65,220,60,0
"37","rh.white_roi.0036.ply","G_temp_sup-Plan_tempo","rh","G_temp_sup-Plan_tempo",25,140,20,0
"38","rh.white_roi.0037.ply","G_temporal_inf","rh","G_temporal_inf",220,220,100,0
"39","rh.white_roi.0038.ply","G_temporal_middle","rh","G_temporal_middle",180,60,60,0
"40","rh.white_roi.0039.ply","Lat_Fis-ant-Horizont","rh","Lat_Fis-ant-Horizont",61,20,220,0
"41","rh.white_roi.0040.ply","Lat_Fis-ant-Vertical","rh","Lat_Fis-ant-Vertical",61,20,60,0
"42","rh.white_roi.0041.ply","Lat_Fis-post","rh","Lat_Fis-post",61,60,100,0
"43","rh.white_roi.0042.ply","Medial_wall","rh","Medial_wall",25,25,25,0
"44","rh.white_roi.0043.ply","Pole_occipital","rh","Pole_occipital",140,20,60,0
"45","rh.white_roi.0044.ply","Pole_temporal","rh","Pole_temporal",220,180,20,0
"46","rh.white_roi.0045.ply","S_calcarine","rh","S_calcarine",63,180,180,0
"47","rh.white_roi.0046.ply","S_central","rh","S_central",221,20,10,0
"48","rh.white_roi.0047.ply","S_cingul-Marginalis","rh","S_cingul-Marginalis",221,20,100,0
"49","rh.white_roi.0048.ply","S_circular_insula_ant","rh","S_circular_insula_ant",221,60,140,0
"50","rh.white_roi.0049.ply","S_circular_insula_inf","rh","S_circular_insula_inf",221,20,220,0
"51","rh.white_roi.0050.ply","S_circular_insula_sup","rh","S_circular_insula_sup",61,220,220,0
"52","rh.white_roi.0051.ply","S_collat_transv_ant","rh","S_collat_transv_ant",100,200,200,0
"53","rh.white_roi.0052.ply","S_collat_transv_post","rh","S_collat_transv_post",10,200,200,0
"54","rh.white_roi.0053.ply","S_front_inf","rh","S_front_inf",221,220,20,0
"55","rh.white_roi.0054.ply","S_front_middle","rh","S_front_middle",141,20,100,0
"56","rh.white_roi.0055.ply","S_front_sup","rh","S_front_sup",61,220,100,0
"57","rh.white_roi.0056.ply","S_interm_prim-Jensen","rh","S_interm_prim-Jensen",141,60,20,0
"58","rh.white_roi.0057.ply","S_intrapariet_and_P_trans","rh","S_intrapariet_and_P_trans",143,20,220,0
"59","rh.white_roi.0058.ply","S_oc_middle_and_Lunatus","rh","S_oc_middle_and_Lunatus",101,60,220,0
"60","rh.white_roi.0059.ply","S_oc_sup_and_transversal","rh","S_oc_sup_and_transversal",21,20,140,0
"61","rh.white_roi.0060.ply","S_occipital_ant","rh","S_occipital_ant",61,20,180,0
"62","rh.white_roi.0061.ply","S_oc-temp_lat","rh","S_oc-temp_lat",221,140,20,0
"63","rh.white_roi.0062.ply","S_oc-temp_med_and_Lingual","rh","S_oc-temp_med_and_Lingual",141,100,220,0
"64","rh.white_roi.0063.ply","S_orbital_lateral","rh","S_orbital_lateral",221,100,20,0
"65","rh.white_roi.0064.ply","S_orbital_med-olfact","rh","S_orbital_med-olfact",181,200,20,0
"66","rh.white_roi.0065.ply","S_orbital-H_Shaped","rh","S_orbital-H_Shaped",101,20,20,0
"67","rh.white_roi.0066.ply","S_parieto_occipital","rh","S_parieto_occipital",101,100,180,0
"68","rh.white_roi.0067.ply","S_pericallosal","rh","S_pericallosal",181,220,20,0
"69","rh.white_roi.0068.ply","S_postcentral","rh","S_postcentral",21,140,200,0
"70","rh.white_roi.0069.ply","S_precentral-inf-part","rh","S_precentral-inf-part",21,20,240,0
"71","rh.white_roi.0070.ply","S_precentral-sup-part","rh","S_precentral-sup-part",21,20,200,0
"72","rh.white_roi.0071.ply","S_suborbital","rh","S_suborbital",21,20,60,0
"73","rh.white_roi.0072.ply","S_subparietal","rh","S_subparietal",101,60,60,0
"74","rh.white_roi.0073.ply","S_temporal_inf","rh","S_temporal_inf",21,180,180,0
"75","rh.white_roi.0074.ply","S_temporal_sup","rh","S_temporal_sup",223,220,60,0
"76","rh.white_roi.0075.ply","S_temporal_transverse","rh","S_temporal_transverse",221,60,60,0
