filename,annot
rh.HCP-MMP1.annot.ply,rh.HCP-MMP1.annot
rh.LCBC_roi.0001.ply,R_V1_ROI
rh.LCBC_roi.0002.ply,R_MST_ROI
rh.LCBC_roi.0003.ply,R_V6_ROI
rh.LCBC_roi.0004.ply,R_V2_ROI
rh.LCBC_roi.0005.ply,R_V3_ROI
rh.LCBC_roi.0006.ply,R_V4_ROI
rh.LCBC_roi.0007.ply,R_V8_ROI
rh.LCBC_roi.0008.ply,R_4_ROI
rh.LCBC_roi.0009.ply,R_3b_ROI
rh.LCBC_roi.0010.ply,R_FEF_ROI
rh.LCBC_roi.0011.ply,R_PEF_ROI
rh.LCBC_roi.0012.ply,R_55b_ROI
rh.LCBC_roi.0013.ply,R_V3A_ROI
rh.LCBC_roi.0014.ply,R_RSC_ROI
rh.LCBC_roi.0015.ply,R_POS2_ROI
rh.LCBC_roi.0016.ply,R_V7_ROI
rh.LCBC_roi.0017.ply,R_IPS1_ROI
rh.LCBC_roi.0018.ply,R_FFC_ROI
rh.LCBC_roi.0019.ply,R_V3B_ROI
rh.LCBC_roi.0020.ply,R_LO1_ROI
rh.LCBC_roi.0021.ply,R_LO2_ROI
rh.LCBC_roi.0022.ply,R_PIT_ROI
rh.LCBC_roi.0023.ply,R_MT_ROI
rh.LCBC_roi.0024.ply,R_A1_ROI
rh.LCBC_roi.0025.ply,R_PSL_ROI
rh.LCBC_roi.0026.ply,R_SFL_ROI
rh.LCBC_roi.0027.ply,R_PCV_ROI
rh.LCBC_roi.0028.ply,R_STV_ROI
rh.LCBC_roi.0029.ply,R_7Pm_ROI
rh.LCBC_roi.0030.ply,R_7m_ROI
rh.LCBC_roi.0031.ply,R_POS1_ROI
rh.LCBC_roi.0032.ply,R_23d_ROI
rh.LCBC_roi.0033.ply,R_v23ab_ROI
rh.LCBC_roi.0034.ply,R_d23ab_ROI
rh.LCBC_roi.0035.ply,R_31pv_ROI
rh.LCBC_roi.0036.ply,R_5m_ROI
rh.LCBC_roi.0037.ply,R_5mv_ROI
rh.LCBC_roi.0038.ply,R_23c_ROI
rh.LCBC_roi.0039.ply,R_5L_ROI
rh.LCBC_roi.0040.ply,R_24dd_ROI
rh.LCBC_roi.0041.ply,R_24dv_ROI
rh.LCBC_roi.0042.ply,R_7AL_ROI
rh.LCBC_roi.0043.ply,R_SCEF_ROI
rh.LCBC_roi.0044.ply,R_6ma_ROI
rh.LCBC_roi.0045.ply,R_7Am_ROI
rh.LCBC_roi.0046.ply,R_7PL_ROI
rh.LCBC_roi.0047.ply,R_7PC_ROI
rh.LCBC_roi.0048.ply,R_LIPv_ROI
rh.LCBC_roi.0049.ply,R_VIP_ROI
rh.LCBC_roi.0050.ply,R_MIP_ROI
rh.LCBC_roi.0051.ply,R_1_ROI
rh.LCBC_roi.0052.ply,R_2_ROI
rh.LCBC_roi.0053.ply,R_3a_ROI
rh.LCBC_roi.0054.ply,R_6d_ROI
rh.LCBC_roi.0055.ply,R_6mp_ROI
rh.LCBC_roi.0056.ply,R_6v_ROI
rh.LCBC_roi.0057.ply,R_p24pr_ROI
rh.LCBC_roi.0058.ply,R_33pr_ROI
rh.LCBC_roi.0059.ply,R_a24pr_ROI
rh.LCBC_roi.0060.ply,R_p32pr_ROI
rh.LCBC_roi.0061.ply,R_a24_ROI
rh.LCBC_roi.0062.ply,R_d32_ROI
rh.LCBC_roi.0063.ply,R_8BM_ROI
rh.LCBC_roi.0064.ply,R_p32_ROI
rh.LCBC_roi.0065.ply,R_10r_ROI
rh.LCBC_roi.0066.ply,R_47m_ROI
rh.LCBC_roi.0067.ply,R_8Av_ROI
rh.LCBC_roi.0068.ply,R_8Ad_ROI
rh.LCBC_roi.0069.ply,R_9m_ROI
rh.LCBC_roi.0070.ply,R_8BL_ROI
rh.LCBC_roi.0071.ply,R_9p_ROI
rh.LCBC_roi.0072.ply,R_10d_ROI
rh.LCBC_roi.0073.ply,R_8C_ROI
rh.LCBC_roi.0074.ply,R_44_ROI
rh.LCBC_roi.0075.ply,R_45_ROI
rh.LCBC_roi.0076.ply,R_47l_ROI
rh.LCBC_roi.0077.ply,R_a47r_ROI
rh.LCBC_roi.0078.ply,R_6r_ROI
rh.LCBC_roi.0079.ply,R_IFJa_ROI
rh.LCBC_roi.0080.ply,R_IFJp_ROI
rh.LCBC_roi.0081.ply,R_IFSp_ROI
rh.LCBC_roi.0082.ply,R_IFSa_ROI
rh.LCBC_roi.0083.ply,R_p9-46v_ROI
rh.LCBC_roi.0084.ply,R_46_ROI
rh.LCBC_roi.0085.ply,R_a9-46v_ROI
rh.LCBC_roi.0086.ply,R_9-46d_ROI
rh.LCBC_roi.0087.ply,R_9a_ROI
rh.LCBC_roi.0088.ply,R_10v_ROI
rh.LCBC_roi.0089.ply,R_a10p_ROI
rh.LCBC_roi.0090.ply,R_10pp_ROI
rh.LCBC_roi.0091.ply,R_11l_ROI
rh.LCBC_roi.0092.ply,R_13l_ROI
rh.LCBC_roi.0093.ply,R_OFC_ROI
rh.LCBC_roi.0094.ply,R_47s_ROI
rh.LCBC_roi.0095.ply,R_LIPd_ROI
rh.LCBC_roi.0096.ply,R_6a_ROI
rh.LCBC_roi.0097.ply,R_i6-8_ROI
rh.LCBC_roi.0098.ply,R_s6-8_ROI
rh.LCBC_roi.0099.ply,R_43_ROI
rh.LCBC_roi.0100.ply,R_OP4_ROI
rh.LCBC_roi.0101.ply,R_OP1_ROI
rh.LCBC_roi.0102.ply,R_OP2-3_ROI
rh.LCBC_roi.0103.ply,R_52_ROI
rh.LCBC_roi.0104.ply,R_RI_ROI
rh.LCBC_roi.0105.ply,R_PFcm_ROI
rh.LCBC_roi.0106.ply,R_PoI2_ROI
rh.LCBC_roi.0107.ply,R_TA2_ROI
rh.LCBC_roi.0108.ply,R_FOP4_ROI
rh.LCBC_roi.0109.ply,R_MI_ROI
rh.LCBC_roi.0110.ply,R_Pir_ROI
rh.LCBC_roi.0111.ply,R_AVI_ROI
rh.LCBC_roi.0112.ply,R_AAIC_ROI
rh.LCBC_roi.0113.ply,R_FOP1_ROI
rh.LCBC_roi.0114.ply,R_FOP3_ROI
rh.LCBC_roi.0115.ply,R_FOP2_ROI
rh.LCBC_roi.0116.ply,R_PFt_ROI
rh.LCBC_roi.0117.ply,R_AIP_ROI
