filename,annot
lh.HCP-MMP1.annot.ply,lh.HCP-MMP1.annot
lh.white_roi.0001.ply,???
lh.white_roi.0002.ply,L_V1_ROI
lh.white_roi.0003.ply,L_MST_ROI
lh.white_roi.0004.ply,L_V6_ROI
lh.white_roi.0005.ply,L_V2_ROI
lh.white_roi.0006.ply,L_V3_ROI
lh.white_roi.0007.ply,L_V4_ROI
lh.white_roi.0008.ply,L_V8_ROI
lh.white_roi.0009.ply,L_4_ROI
lh.white_roi.0010.ply,L_3b_ROI
lh.white_roi.0011.ply,L_FEF_ROI
lh.white_roi.0012.ply,L_PEF_ROI
lh.white_roi.0013.ply,L_55b_ROI
lh.white_roi.0014.ply,L_V3A_ROI
lh.white_roi.0015.ply,L_RSC_ROI
lh.white_roi.0016.ply,L_POS2_ROI
lh.white_roi.0017.ply,L_V7_ROI
lh.white_roi.0018.ply,L_IPS1_ROI
lh.white_roi.0019.ply,L_FFC_ROI
lh.white_roi.0020.ply,L_V3B_ROI
lh.white_roi.0021.ply,L_LO1_ROI
lh.white_roi.0022.ply,L_LO2_ROI
lh.white_roi.0023.ply,L_PIT_ROI
lh.white_roi.0024.ply,L_MT_ROI
lh.white_roi.0025.ply,L_A1_ROI
lh.white_roi.0026.ply,L_PSL_ROI
lh.white_roi.0027.ply,L_SFL_ROI
lh.white_roi.0028.ply,L_PCV_ROI
lh.white_roi.0029.ply,L_STV_ROI
lh.white_roi.0030.ply,L_7Pm_ROI
lh.white_roi.0031.ply,L_7m_ROI
lh.white_roi.0032.ply,L_POS1_ROI
lh.white_roi.0033.ply,L_23d_ROI
lh.white_roi.0034.ply,L_v23ab_ROI
lh.white_roi.0035.ply,L_d23ab_ROI
lh.white_roi.0036.ply,L_31pv_ROI
lh.white_roi.0037.ply,L_5m_ROI
lh.white_roi.0038.ply,L_5mv_ROI
lh.white_roi.0039.ply,L_23c_ROI
lh.white_roi.0040.ply,L_5L_ROI
lh.white_roi.0041.ply,L_24dd_ROI
lh.white_roi.0042.ply,L_24dv_ROI
lh.white_roi.0043.ply,L_7AL_ROI
lh.white_roi.0044.ply,L_SCEF_ROI
lh.white_roi.0045.ply,L_6ma_ROI
lh.white_roi.0046.ply,L_7Am_ROI
lh.white_roi.0047.ply,L_7PL_ROI
lh.white_roi.0048.ply,L_7PC_ROI
lh.white_roi.0049.ply,L_LIPv_ROI
lh.white_roi.0050.ply,L_VIP_ROI
lh.white_roi.0051.ply,L_MIP_ROI
lh.white_roi.0052.ply,L_1_ROI
lh.white_roi.0053.ply,L_2_ROI
lh.white_roi.0054.ply,L_3a_ROI
lh.white_roi.0055.ply,L_6d_ROI
lh.white_roi.0056.ply,L_6mp_ROI
lh.white_roi.0057.ply,L_6v_ROI
lh.white_roi.0058.ply,L_p24pr_ROI
lh.white_roi.0059.ply,L_33pr_ROI
lh.white_roi.0060.ply,L_a24pr_ROI
lh.white_roi.0061.ply,L_p32pr_ROI
lh.white_roi.0062.ply,L_a24_ROI
lh.white_roi.0063.ply,L_d32_ROI
lh.white_roi.0064.ply,L_8BM_ROI
lh.white_roi.0065.ply,L_p32_ROI
lh.white_roi.0066.ply,L_10r_ROI
lh.white_roi.0067.ply,L_47m_ROI
lh.white_roi.0068.ply,L_8Av_ROI
lh.white_roi.0069.ply,L_8Ad_ROI
lh.white_roi.0070.ply,L_9m_ROI
lh.white_roi.0071.ply,L_8BL_ROI
lh.white_roi.0072.ply,L_9p_ROI
lh.white_roi.0073.ply,L_10d_ROI
lh.white_roi.0074.ply,L_8C_ROI
lh.white_roi.0075.ply,L_44_ROI
lh.white_roi.0076.ply,L_45_ROI
lh.white_roi.0077.ply,L_47l_ROI
lh.white_roi.0078.ply,L_a47r_ROI
lh.white_roi.0079.ply,L_6r_ROI
lh.white_roi.0080.ply,L_IFJa_ROI
lh.white_roi.0081.ply,L_IFJp_ROI
lh.white_roi.0082.ply,L_IFSp_ROI
lh.white_roi.0083.ply,L_IFSa_ROI
lh.white_roi.0084.ply,L_p9-46v_ROI
lh.white_roi.0085.ply,L_46_ROI
lh.white_roi.0086.ply,L_a9-46v_ROI
lh.white_roi.0087.ply,L_9-46d_ROI
lh.white_roi.0088.ply,L_9a_ROI
lh.white_roi.0089.ply,L_10v_ROI
lh.white_roi.0090.ply,L_a10p_ROI
lh.white_roi.0091.ply,L_10pp_ROI
lh.white_roi.0092.ply,L_11l_ROI
lh.white_roi.0093.ply,L_13l_ROI
lh.white_roi.0094.ply,L_OFC_ROI
lh.white_roi.0095.ply,L_47s_ROI
lh.white_roi.0096.ply,L_LIPd_ROI
lh.white_roi.0097.ply,L_6a_ROI
lh.white_roi.0098.ply,L_i6-8_ROI
lh.white_roi.0099.ply,L_s6-8_ROI
lh.white_roi.0100.ply,L_43_ROI
lh.white_roi.0101.ply,L_OP4_ROI
lh.white_roi.0102.ply,L_OP1_ROI
lh.white_roi.0103.ply,L_OP2-3_ROI
lh.white_roi.0104.ply,L_52_ROI
lh.white_roi.0105.ply,L_RI_ROI
lh.white_roi.0106.ply,L_PFcm_ROI
lh.white_roi.0107.ply,L_PoI2_ROI
lh.white_roi.0108.ply,L_TA2_ROI
lh.white_roi.0109.ply,L_FOP4_ROI
lh.white_roi.0110.ply,L_MI_ROI
lh.white_roi.0111.ply,L_Pir_ROI
lh.white_roi.0112.ply,L_AVI_ROI
lh.white_roi.0113.ply,L_AAIC_ROI
lh.white_roi.0114.ply,L_FOP1_ROI
lh.white_roi.0115.ply,L_FOP3_ROI
lh.white_roi.0116.ply,L_FOP2_ROI
lh.white_roi.0117.ply,L_PFt_ROI
lh.white_roi.0118.ply,L_AIP_ROI
lh.white_roi.0119.ply,L_EC_ROI
lh.white_roi.0120.ply,L_PreS_ROI
lh.white_roi.0121.ply,L_H_ROI
lh.white_roi.0122.ply,L_ProS_ROI
lh.white_roi.0123.ply,L_PeEc_ROI
lh.white_roi.0124.ply,L_STGa_ROI
lh.white_roi.0125.ply,L_PBelt_ROI
lh.white_roi.0126.ply,L_A5_ROI
lh.white_roi.0127.ply,L_PHA1_ROI
lh.white_roi.0128.ply,L_PHA3_ROI
lh.white_roi.0129.ply,L_STSda_ROI
lh.white_roi.0130.ply,L_STSdp_ROI
lh.white_roi.0131.ply,L_STSvp_ROI
lh.white_roi.0132.ply,L_TGd_ROI
lh.white_roi.0133.ply,L_TE1a_ROI
lh.white_roi.0134.ply,L_TE1p_ROI
lh.white_roi.0135.ply,L_TE2a_ROI
lh.white_roi.0136.ply,L_TF_ROI
lh.white_roi.0137.ply,L_TE2p_ROI
lh.white_roi.0138.ply,L_PHT_ROI
lh.white_roi.0139.ply,L_PH_ROI
lh.white_roi.0140.ply,L_TPOJ1_ROI
lh.white_roi.0141.ply,L_TPOJ2_ROI
lh.white_roi.0142.ply,L_TPOJ3_ROI
lh.white_roi.0143.ply,L_DVT_ROI
lh.white_roi.0144.ply,L_PGp_ROI
lh.white_roi.0145.ply,L_IP2_ROI
lh.white_roi.0146.ply,L_IP1_ROI
lh.white_roi.0147.ply,L_IP0_ROI
lh.white_roi.0148.ply,L_PFop_ROI
lh.white_roi.0149.ply,L_PF_ROI
lh.white_roi.0150.ply,L_PFm_ROI
lh.white_roi.0151.ply,L_PGi_ROI
lh.white_roi.0152.ply,L_PGs_ROI
lh.white_roi.0153.ply,L_V6A_ROI
lh.white_roi.0154.ply,L_VMV1_ROI
lh.white_roi.0155.ply,L_VMV3_ROI
lh.white_roi.0156.ply,L_PHA2_ROI
lh.white_roi.0157.ply,L_V4t_ROI
lh.white_roi.0158.ply,L_FST_ROI
lh.white_roi.0159.ply,L_V3CD_ROI
lh.white_roi.0160.ply,L_LO3_ROI
lh.white_roi.0161.ply,L_VMV2_ROI
lh.white_roi.0162.ply,L_31pd_ROI
lh.white_roi.0163.ply,L_31a_ROI
lh.white_roi.0164.ply,L_VVC_ROI
lh.white_roi.0165.ply,L_25_ROI
lh.white_roi.0166.ply,L_s32_ROI
lh.white_roi.0167.ply,L_pOFC_ROI
lh.white_roi.0168.ply,L_PoI1_ROI
lh.white_roi.0169.ply,L_Ig_ROI
lh.white_roi.0170.ply,L_FOP5_ROI
lh.white_roi.0171.ply,L_p10p_ROI
lh.white_roi.0172.ply,L_p47r_ROI
lh.white_roi.0173.ply,L_TGv_ROI
lh.white_roi.0174.ply,L_MBelt_ROI
lh.white_roi.0175.ply,L_LBelt_ROI
lh.white_roi.0176.ply,L_A4_ROI
lh.white_roi.0177.ply,L_STSva_ROI
lh.white_roi.0178.ply,L_TE1m_ROI
lh.white_roi.0179.ply,L_PI_ROI
lh.white_roi.0180.ply,L_a32pr_ROI
lh.white_roi.0181.ply,L_p24_ROI
