filename,annot
lh.Schaefer2018_400Parcels_17Networks_order.annot.ply,lh.Schaefer2018_400Parcels_17Networks_order.annot
lh.white_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
lh.white_roi.0002.ply,17Networks_LH_VisCent_ExStr_1
lh.white_roi.0003.ply,17Networks_LH_VisCent_ExStr_2
lh.white_roi.0004.ply,17Networks_LH_VisCent_ExStr_3
lh.white_roi.0005.ply,17Networks_LH_VisCent_ExStr_4
lh.white_roi.0006.ply,17Networks_LH_VisCent_ExStr_5
lh.white_roi.0007.ply,17Networks_LH_VisCent_ExStr_6
lh.white_roi.0008.ply,17Networks_LH_VisCent_ExStr_7
lh.white_roi.0009.ply,17Networks_LH_VisCent_ExStr_8
lh.white_roi.0010.ply,17Networks_LH_VisCent_ExStr_9
lh.white_roi.0011.ply,17Networks_LH_VisCent_ExStr_10
lh.white_roi.0012.ply,17Networks_LH_VisCent_ExStr_11
lh.white_roi.0013.ply,17Networks_LH_VisCent_ExStr_12
lh.white_roi.0014.ply,17Networks_LH_VisPeri_ExStrSup_1
lh.white_roi.0015.ply,17Networks_LH_VisPeri_ExStrSup_2
lh.white_roi.0016.ply,17Networks_LH_VisPeri_ExStrSup_3
lh.white_roi.0017.ply,17Networks_LH_VisPeri_ExStrSup_4
lh.white_roi.0018.ply,17Networks_LH_VisPeri_ExStrSup_5
lh.white_roi.0019.ply,17Networks_LH_VisPeri_ExStrSup_6
lh.white_roi.0020.ply,17Networks_LH_VisPeri_ExStrSup_7
lh.white_roi.0021.ply,17Networks_LH_VisPeri_ExStrSup_8
lh.white_roi.0022.ply,17Networks_LH_VisPeri_ExStrSup_9
lh.white_roi.0023.ply,17Networks_LH_VisPeri_ExStrSup_10
lh.white_roi.0024.ply,17Networks_LH_VisPeri_ExStrSup_11
lh.white_roi.0025.ply,17Networks_LH_VisPeri_ExStrSup_12
lh.white_roi.0026.ply,17Networks_LH_SomMotA_1
lh.white_roi.0027.ply,17Networks_LH_SomMotA_2
