filename,annot
lh.Schaefer2018_400Parcels_7Networks_order.annot.ply,lh.Schaefer2018_400Parcels_7Networks_order.annot
lh.LCBC_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
lh.LCBC_roi.0002.ply,7Networks_LH_Vis_1
lh.LCBC_roi.0003.ply,7Networks_LH_Vis_2
lh.LCBC_roi.0004.ply,7Networks_LH_Vis_3
lh.LCBC_roi.0005.ply,7Networks_LH_Vis_4
lh.LCBC_roi.0006.ply,7Networks_LH_Vis_5
lh.LCBC_roi.0007.ply,7Networks_LH_Vis_6
lh.LCBC_roi.0008.ply,7Networks_LH_Vis_7
lh.LCBC_roi.0009.ply,7Networks_LH_Vis_8
lh.LCBC_roi.0010.ply,7Networks_LH_Vis_9
lh.LCBC_roi.0011.ply,7Networks_LH_Vis_10
lh.LCBC_roi.0012.ply,7Networks_LH_Vis_11
lh.LCBC_roi.0013.ply,7Networks_LH_Vis_12
lh.LCBC_roi.0014.ply,7Networks_LH_Vis_13
lh.LCBC_roi.0015.ply,7Networks_LH_Vis_14
lh.LCBC_roi.0016.ply,7Networks_LH_Vis_15
lh.LCBC_roi.0017.ply,7Networks_LH_Vis_16
lh.LCBC_roi.0018.ply,7Networks_LH_Vis_17
lh.LCBC_roi.0019.ply,7Networks_LH_Vis_18
lh.LCBC_roi.0020.ply,7Networks_LH_Vis_19
lh.LCBC_roi.0021.ply,7Networks_LH_Vis_20
lh.LCBC_roi.0022.ply,7Networks_LH_Vis_21
lh.LCBC_roi.0023.ply,7Networks_LH_Vis_22
lh.LCBC_roi.0024.ply,7Networks_LH_Vis_23
lh.LCBC_roi.0025.ply,7Networks_LH_Vis_24
lh.LCBC_roi.0026.ply,7Networks_LH_Vis_25
lh.LCBC_roi.0027.ply,7Networks_LH_Vis_26
lh.LCBC_roi.0028.ply,7Networks_LH_Vis_27
lh.LCBC_roi.0029.ply,7Networks_LH_Vis_28
lh.LCBC_roi.0030.ply,7Networks_LH_Vis_29
lh.LCBC_roi.0031.ply,7Networks_LH_Vis_30
lh.LCBC_roi.0032.ply,7Networks_LH_Vis_31
lh.LCBC_roi.0033.ply,7Networks_LH_SomMot_1
lh.LCBC_roi.0034.ply,7Networks_LH_SomMot_2
lh.LCBC_roi.0035.ply,7Networks_LH_SomMot_3
lh.LCBC_roi.0036.ply,7Networks_LH_SomMot_4
lh.LCBC_roi.0037.ply,7Networks_LH_SomMot_5
lh.LCBC_roi.0038.ply,7Networks_LH_SomMot_6
lh.LCBC_roi.0039.ply,7Networks_LH_SomMot_7
lh.LCBC_roi.0040.ply,7Networks_LH_SomMot_8
lh.LCBC_roi.0041.ply,7Networks_LH_SomMot_9
lh.LCBC_roi.0042.ply,7Networks_LH_SomMot_10
lh.LCBC_roi.0043.ply,7Networks_LH_SomMot_11
lh.LCBC_roi.0044.ply,7Networks_LH_SomMot_12
lh.LCBC_roi.0045.ply,7Networks_LH_SomMot_13
lh.LCBC_roi.0046.ply,7Networks_LH_SomMot_14
lh.LCBC_roi.0047.ply,7Networks_LH_SomMot_15
lh.LCBC_roi.0048.ply,7Networks_LH_SomMot_16
lh.LCBC_roi.0049.ply,7Networks_LH_SomMot_17
lh.LCBC_roi.0050.ply,7Networks_LH_SomMot_18
lh.LCBC_roi.0051.ply,7Networks_LH_SomMot_19
lh.LCBC_roi.0052.ply,7Networks_LH_SomMot_20
lh.LCBC_roi.0053.ply,7Networks_LH_SomMot_21
lh.LCBC_roi.0054.ply,7Networks_LH_SomMot_22
lh.LCBC_roi.0055.ply,7Networks_LH_SomMot_23
lh.LCBC_roi.0056.ply,7Networks_LH_SomMot_24
lh.LCBC_roi.0057.ply,7Networks_LH_SomMot_25
lh.LCBC_roi.0058.ply,7Networks_LH_SomMot_26
lh.LCBC_roi.0059.ply,7Networks_LH_SomMot_27
