filename,annot
rh.Yeo2011_17Networks_N1000.split_components.annot.ply,rh.Yeo2011_17Networks_N1000.split_components.annot
rh.inflated_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
rh.inflated_roi.0002.ply,17Networks_RH_VisCent_Striate
rh.inflated_roi.0003.ply,17Networks_RH_VisCent_ExStr
rh.inflated_roi.0004.ply,17Networks_RH_VisPeri_Striate
rh.inflated_roi.0005.ply,17Networks_RH_VisPeri_ExStrInf
rh.inflated_roi.0006.ply,17Networks_RH_VisPeri_ExStrSup
rh.inflated_roi.0007.ply,17Networks_RH_SomMotA
rh.inflated_roi.0008.ply,17Networks_RH_SomMotB_Cent
rh.inflated_roi.0009.ply,17Networks_RH_SomMotB_S2
rh.inflated_roi.0010.ply,17Networks_RH_SomMotB_Ins
rh.inflated_roi.0011.ply,17Networks_RH_SomMotB_Aud
rh.inflated_roi.0012.ply,17Networks_RH_DorsAttnA_TempOcc
rh.inflated_roi.0013.ply,17Networks_RH_DorsAttnA_ParOcc
rh.inflated_roi.0014.ply,17Networks_RH_DorsAttnA_SPL
rh.inflated_roi.0015.ply,17Networks_RH_DorsAttnB_TempOcc
rh.inflated_roi.0016.ply,17Networks_RH_DorsAttnB_PostC
rh.inflated_roi.0017.ply,17Networks_RH_DorsAttnB_FEF
rh.inflated_roi.0018.ply,17Networks_RH_DorsAttnB_PrCv
rh.inflated_roi.0019.ply,17Networks_RH_SalVentAttnA_ParOper
rh.inflated_roi.0020.ply,17Networks_RH_SalVentAttnA_PrC
rh.inflated_roi.0021.ply,17Networks_RH_SalVentAttnA_PrCv
rh.inflated_roi.0022.ply,17Networks_RH_SalVentAttnA_Ins
rh.inflated_roi.0023.ply,17Networks_RH_SalVentAttnA_ParMed
rh.inflated_roi.0024.ply,17Networks_RH_SalVentAttnA_FrMed
rh.inflated_roi.0025.ply,17Networks_RH_SalVentAttnB_IPL
rh.inflated_roi.0026.ply,17Networks_RH_SalVentAttnB_PFCd
rh.inflated_roi.0027.ply,17Networks_RH_SalVentAttnB_PFCl
rh.inflated_roi.0028.ply,17Networks_RH_SalVentAttnB_PFClv
rh.inflated_roi.0029.ply,17Networks_RH_SalVentAttnB_PFCv
rh.inflated_roi.0030.ply,17Networks_RH_SalVentAttnB_PFCmp
rh.inflated_roi.0031.ply,17Networks_RH_SalVentAttnB_Cinga
rh.inflated_roi.0032.ply,17Networks_RH_Limbic_TempPole
rh.inflated_roi.0033.ply,17Networks_RH_Limbic_OFC
rh.inflated_roi.0034.ply,17Networks_RH_ContA_Temp
rh.inflated_roi.0035.ply,17Networks_RH_ContA_IPS
rh.inflated_roi.0036.ply,17Networks_RH_ContA_PFCd
rh.inflated_roi.0037.ply,17Networks_RH_ContA_PFCl
rh.inflated_roi.0038.ply,17Networks_RH_ContA_Cinga
rh.inflated_roi.0039.ply,17Networks_RH_ContB_Temp
rh.inflated_roi.0040.ply,17Networks_RH_ContB_IPL
rh.inflated_roi.0041.ply,17Networks_RH_ContB_PFCld
rh.inflated_roi.0042.ply,17Networks_RH_ContB_PFClv
rh.inflated_roi.0043.ply,17Networks_RH_ContB_PFCmp
rh.inflated_roi.0044.ply,17Networks_RH_ContC_pCun
rh.inflated_roi.0045.ply,17Networks_RH_ContC_Cingp
rh.inflated_roi.0046.ply,17Networks_RH_DefaultA_Temp
rh.inflated_roi.0047.ply,17Networks_RH_DefaultA_IPL
rh.inflated_roi.0048.ply,17Networks_RH_DefaultA_PFCd
rh.inflated_roi.0049.ply,17Networks_RH_DefaultA_PCC
rh.inflated_roi.0050.ply,17Networks_RH_DefaultA_PFCm
rh.inflated_roi.0051.ply,17Networks_RH_DefaultB_Temp
rh.inflated_roi.0052.ply,17Networks_RH_DefaultB_AntTemp
rh.inflated_roi.0053.ply,17Networks_RH_DefaultB_PFCd
rh.inflated_roi.0054.ply,17Networks_RH_DefaultB_PFCv
rh.inflated_roi.0055.ply,17Networks_RH_DefaultC_IPL
rh.inflated_roi.0056.ply,17Networks_RH_DefaultC_Rsp
rh.inflated_roi.0057.ply,17Networks_RH_DefaultC_PHC
rh.inflated_roi.0058.ply,17Networks_RH_TempPar
