filename,annot
rh.Yeo2011_7Networks_N1000.split_components.annot.ply,rh.Yeo2011_7Networks_N1000.split_components.annot
rh.LCBC_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
rh.LCBC_roi.0002.ply,7Networks_RH_Vis
rh.LCBC_roi.0003.ply,7Networks_RH_SomMot
rh.LCBC_roi.0004.ply,7Networks_RH_DorsAttn_Post
rh.LCBC_roi.0005.ply,7Networks_RH_DorsAttn_FEF
rh.LCBC_roi.0006.ply,7Networks_RH_DorsAttn_PrCv
rh.LCBC_roi.0007.ply,7Networks_RH_SalVentAttn_TempOccPar
rh.LCBC_roi.0008.ply,7Networks_RH_SalVentAttn_PrC
rh.LCBC_roi.0009.ply,7Networks_RH_SalVentAttn_FrOper
rh.LCBC_roi.0010.ply,7Networks_RH_SalVentAttn_PFCv
rh.LCBC_roi.0011.ply,7Networks_RH_SalVentAttn_PFCl
rh.LCBC_roi.0012.ply,7Networks_RH_SalVentAttn_Med
rh.LCBC_roi.0013.ply,7Networks_RH_Limbic_OFC
rh.LCBC_roi.0014.ply,7Networks_RH_Limbic_TempPole
rh.LCBC_roi.0015.ply,7Networks_RH_Cont_Par
rh.LCBC_roi.0016.ply,7Networks_RH_Cont_Temp
rh.LCBC_roi.0017.ply,7Networks_RH_Cont_PFCv
rh.LCBC_roi.0018.ply,7Networks_RH_Cont_PFCl
rh.LCBC_roi.0019.ply,7Networks_RH_Cont_pCun
rh.LCBC_roi.0020.ply,7Networks_RH_Cont_Cing
rh.LCBC_roi.0021.ply,7Networks_RH_Cont_PFCmp
rh.LCBC_roi.0022.ply,7Networks_RH_Default_Par
rh.LCBC_roi.0023.ply,7Networks_RH_Default_Temp
rh.LCBC_roi.0024.ply,7Networks_RH_Default_PFCv
rh.LCBC_roi.0025.ply,7Networks_RH_Default_PFCm
rh.LCBC_roi.0026.ply,7Networks_RH_Default_PCC
