filename,annot
lh.Yeo2011_7Networks_N1000.split_components.annot.ply,lh.Yeo2011_7Networks_N1000.split_components.annot
lh.inflated_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
lh.inflated_roi.0002.ply,7Networks_LH_Vis
lh.inflated_roi.0003.ply,7Networks_LH_SomMot
lh.inflated_roi.0004.ply,7Networks_LH_DorsAttn_Post
lh.inflated_roi.0005.ply,7Networks_LH_DorsAttn_FEF
lh.inflated_roi.0006.ply,7Networks_LH_DorsAttn_PrCv
lh.inflated_roi.0007.ply,7Networks_LH_SalVentAttn_ParOper
lh.inflated_roi.0008.ply,7Networks_LH_SalVentAttn_TempOcc
lh.inflated_roi.0009.ply,7Networks_LH_SalVentAttn_FrOper
lh.inflated_roi.0010.ply,7Networks_LH_SalVentAttn_PFCl
lh.inflated_roi.0011.ply,7Networks_LH_SalVentAttn_Med
lh.inflated_roi.0012.ply,7Networks_LH_Limbic_OFC
lh.inflated_roi.0013.ply,7Networks_LH_Limbic_TempPole
lh.inflated_roi.0014.ply,7Networks_LH_Cont_Par
lh.inflated_roi.0015.ply,7Networks_LH_Cont_Temp
lh.inflated_roi.0016.ply,7Networks_LH_Cont_PFCd
lh.inflated_roi.0017.ply,7Networks_LH_Cont_PFCl
lh.inflated_roi.0018.ply,7Networks_LH_Cont_OFC
lh.inflated_roi.0019.ply,7Networks_LH_Cont_PFCv
lh.inflated_roi.0020.ply,7Networks_LH_Cont_pCun
lh.inflated_roi.0021.ply,7Networks_LH_Cont_Cing
lh.inflated_roi.0022.ply,7Networks_LH_Cont_PFCmp
lh.inflated_roi.0023.ply,7Networks_LH_Default_Par
lh.inflated_roi.0024.ply,7Networks_LH_Default_Temp
lh.inflated_roi.0025.ply,7Networks_LH_Default_PFC
lh.inflated_roi.0026.ply,7Networks_LH_Default_PCC
lh.inflated_roi.0027.ply,7Networks_LH_Default_PHC
