filename,annot
lh.Yeo2011_7Networks_N1000.split_components.annot.ply,lh.Yeo2011_7Networks_N1000.split_components.annot
lh.white_roi.0001.ply,Background+FreeSurfer_Defined_Medial_Wall
lh.white_roi.0002.ply,7Networks_LH_Vis
lh.white_roi.0003.ply,7Networks_LH_SomMot
lh.white_roi.0004.ply,7Networks_LH_DorsAttn_Post
lh.white_roi.0005.ply,7Networks_LH_DorsAttn_FEF
lh.white_roi.0006.ply,7Networks_LH_DorsAttn_PrCv
lh.white_roi.0007.ply,7Networks_LH_SalVentAttn_ParOper
lh.white_roi.0008.ply,7Networks_LH_SalVentAttn_TempOcc
lh.white_roi.0009.ply,7Networks_LH_SalVentAttn_FrOper
lh.white_roi.0010.ply,7Networks_LH_SalVentAttn_PFCl
lh.white_roi.0011.ply,7Networks_LH_SalVentAttn_Med
lh.white_roi.0012.ply,7Networks_LH_Limbic_OFC
lh.white_roi.0013.ply,7Networks_LH_Limbic_TempPole
lh.white_roi.0014.ply,7Networks_LH_Cont_Par
lh.white_roi.0015.ply,7Networks_LH_Cont_Temp
lh.white_roi.0016.ply,7Networks_LH_Cont_PFCd
lh.white_roi.0017.ply,7Networks_LH_Cont_PFCl
lh.white_roi.0018.ply,7Networks_LH_Cont_OFC
lh.white_roi.0019.ply,7Networks_LH_Cont_PFCv
lh.white_roi.0020.ply,7Networks_LH_Cont_pCun
lh.white_roi.0021.ply,7Networks_LH_Cont_Cing
lh.white_roi.0022.ply,7Networks_LH_Cont_PFCmp
lh.white_roi.0023.ply,7Networks_LH_Default_Par
lh.white_roi.0024.ply,7Networks_LH_Default_Temp
lh.white_roi.0025.ply,7Networks_LH_Default_PFC
lh.white_roi.0026.ply,7Networks_LH_Default_PCC
lh.white_roi.0027.ply,7Networks_LH_Default_PHC
