filename,annot
rh.aparc.annot.ply,rh.aparc.annot
rh.LCBC_roi.0001.ply,unknown
rh.LCBC_roi.0002.ply,bankssts
rh.LCBC_roi.0003.ply,caudalanteriorcingulate
rh.LCBC_roi.0004.ply,caudalmiddlefrontal
rh.LCBC_roi.0005.ply,corpuscallosum
rh.LCBC_roi.0006.ply,cuneus
rh.LCBC_roi.0007.ply,entorhinal
rh.LCBC_roi.0008.ply,fusiform
rh.LCBC_roi.0009.ply,inferiorparietal
rh.LCBC_roi.0010.ply,inferiortemporal
rh.LCBC_roi.0011.ply,isthmuscingulate
rh.LCBC_roi.0012.ply,lateraloccipital
rh.LCBC_roi.0013.ply,lateralorbitofrontal
rh.LCBC_roi.0014.ply,lingual
rh.LCBC_roi.0015.ply,medialorbitofrontal
rh.LCBC_roi.0016.ply,middletemporal
rh.LCBC_roi.0017.ply,parahippocampal
rh.LCBC_roi.0018.ply,paracentral
rh.LCBC_roi.0019.ply,parsopercularis
rh.LCBC_roi.0020.ply,parsorbitalis
rh.LCBC_roi.0021.ply,parstriangularis
rh.LCBC_roi.0022.ply,pericalcarine
rh.LCBC_roi.0023.ply,postcentral
rh.LCBC_roi.0024.ply,posteriorcingulate
rh.LCBC_roi.0025.ply,precentral
rh.LCBC_roi.0026.ply,precuneus
rh.LCBC_roi.0027.ply,rostralanteriorcingulate
rh.LCBC_roi.0028.ply,rostralmiddlefrontal
rh.LCBC_roi.0029.ply,superiorfrontal
rh.LCBC_roi.0030.ply,superiorparietal
rh.LCBC_roi.0031.ply,superiortemporal
rh.LCBC_roi.0032.ply,supramarginal
rh.LCBC_roi.0033.ply,frontalpole
rh.LCBC_roi.0034.ply,temporalpole
rh.LCBC_roi.0035.ply,transversetemporal
rh.LCBC_roi.0036.ply,insula
